,_id,amount,classtype,close,date,high,low,market,open,stock_code,time,volume
922,5b4469e9ae17be1640c17945,1114701,kline_min1,13.94,2018-06-08,13.94,13.91,0,13.91,002582,931,80100
924,5b4469eaae17be1640c1d42a,1617293,kline_min1,9.6,2018-06-08,9.63,9.6,0,9.61,002583,931,168200
926,5b4469eaae17be1640c274b3,60971,kline_min1,6.09,2018-06-08,6.1,6.09,0,6.1,002585,931,10000
928,5b4469eaae17be1640c2ca81,662433,kline_min1,7.34,2018-06-08,7.39,7.34,0,7.39,002586,931,89700
930,5b4469ebae17be1640c31c64,286241,kline_min1,7.18,2018-06-08,7.22,7.17,0,7.17,002587,931,39900
932,5b4469ebae17be1640c37664,237400,kline_min1,5.87,2018-06-08,5.88,5.84,0,5.84,002588,931,40600
934,5b4469ebae17be1640c3d096,887049,kline_min1,13.27,2018-06-08,13.46,13.27,0,13.46,002589,931,66400
935,5b4469ecae17be1640c42a93,264402,kline_min1,9.64,2018-06-08,9.65,9.64,0,9.65,002590,931,27400
937,5b446a25ae17be1640c481e1,47440,kline_min1,8.5,2018-06-08,8.5,8.46,0,8.46,002591,931,5600
939,5b446a25ae17be1640c4ccf7,737600,kline_min1,14.5,2018-06-08,14.54,14.47,0,14.54,002592,931,50800
940,5b446a25ae17be1640c4f2dd,52958,kline_min1,3.67,2018-06-08,3.68,3.67,0,3.68,002593,931,14400
942,5b446a25ae17be1640c5487a,3046915,kline_min1,50.72,2018-06-08,50.93,50.7,0,50.92,002594,931,59900
944,5b446a26ae17be1640c5a33b,1594165,kline_min1,16.28,2018-06-08,16.4,16.28,0,16.4,002595,931,97500
947,5b446a26ae17be1640c5f8e1,22487644,kline_min1,11.9,2018-06-08,11.96,11.88,0,11.95,002596,931,1886700
949,5b446a26ae17be1640c64ebe,407672,kline_min1,23.81,2018-06-08,23.91,23.81,0,23.91,002597,931,17100
950,5b446a26ae17be1640c6a58f,29454,kline_min1,7.96,2018-06-08,7.98,7.96,0,7.96,002598,931,3700
953,5b446a27ae17be1640c6f29e,6936,kline_min1,11.56,2018-06-08,11.56,11.56,0,11.56,002599,931,600
955,5b446a27ae17be1640c745f3,2353720,kline_min1,6.83,2018-06-08,6.84,6.8,0,6.8,002600,931,344500
956,5b446a60ae17be1640c79cb6,682564,kline_min1,14.37,2018-06-08,14.44,14.37,0,14.43,002601,931,47300
958,5b446a61ae17be1640c7def9,3065757,kline_min1,33.43,2018-06-08,33.5,33.29,0,33.5,002602,931,91600
960,5b446a61ae17be1640c84b1d,733695,kline_min1,15.84,2018-06-08,15.86,15.83,0,15.85,002603,931,46300
962,5b446a61ae17be1640c8a54c,8025560,kline_min1,2.61,2018-06-08,2.67,2.56,0,2.67,002604,931,3041200
964,5b446a61ae17be1640c8dc68,64972,kline_min1,8.65,2018-06-08,8.68,8.65,0,8.68,002605,931,7500
965,5b446a61ae17be1640c9310a,1074820,kline_min1,5.56,2018-06-08,5.59,5.56,0,5.56,002606,931,192900
966,5b446a62ae17be1640c982ff,627227392,kline_min1,11.35,2018-06-08,11.35,11.01,0,11.3,002607,931,55659100
968,5b446a62ae17be1640c9c47a,182316,kline_min1,7.57,2018-06-08,7.65,7.56,0,7.6,002608,931,24000
970,5b446a62ae17be1640ca13ae,14563,kline_min1,13.24,2018-06-08,13.24,13.23,0,13.23,002609,931,1100
974,5b446aa1ae17be1640cac0a7,1277925,kline_min1,10.9,2018-06-08,10.97,10.87,0,10.87,002611,931,117200
975,5b446aa1ae17be1640cb2482,659790,kline_min1,13.68,2018-06-08,13.79,13.68,0,13.7,002612,931,48100
977,5b446aa1ae17be1640cb7aa3,283715,kline_min1,3.58,2018-06-08,3.62,3.57,0,3.62,002613,931,78800
979,5b446aa2ae17be1640cbce97,22261830,kline_min1,21.0,2018-06-08,21.2,20.54,0,21.2,002614,931,1060400
980,5b446aa2ae17be1640cc22db,149047,kline_min1,6.94,2018-06-08,6.94,6.93,0,6.93,002615,931,21500
982,5b446aa2ae17be1640cc716a,7785,kline_min1,6.47,2018-06-08,6.5,6.47,0,6.5,002616,931,1200
986,5b446aa3ae17be1640cd1f30,389503,kline_min1,12.36,2018-06-08,12.41,12.36,0,12.41,002618,931,31400
987,5b446aa3ae17be1640cd794d,28885924,kline_min1,4.94,2018-06-08,4.94,4.88,0,4.91,002619,931,5898100
989,5b446aa3ae17be1640cdcda8,591149,kline_min1,8.22,2018-06-08,8.22,8.16,0,8.16,002620,931,72300
976,5b446aa5ae17be15ac04f8ab,94111504,kline_min1,5.3,2018-06-08,5.5,5.29,0,5.5,002622,931,17312400
978,5b446aa5ae17be15ac053a07,46537,kline_min1,18.61,2018-06-08,18.62,18.61,0,18.61,002623,931,2500
981,5b446aa5ae17be15ac05e988,248160,kline_min1,13.58,2018-06-08,13.58,13.55,0,13.55,002625,931,18300
983,5b446aa6ae17be15ac06432a,1173570,kline_min1,18.78,2018-06-08,18.83,18.71,0,18.83,002626,931,62500
984,5b446aa6ae17be15ac06978e,104719,kline_min1,18.68,2018-06-08,18.92,18.67,0,18.92,002627,931,5600
985,5b446aa6ae17be15ac06e427,10697015,kline_min1,5.38,2018-06-08,5.42,5.35,0,5.42,002628,931,1979400
988,5b446aa6ae17be15ac07316c,477107,kline_min1,5.85,2018-06-08,5.86,5.83,0,5.83,002629,931,81600
990,5b446aa7ae17be15ac077a21,627846,kline_min1,8.0,2018-06-08,8.0,7.98,0,7.98,002630,931,78600
992,5b446ae7ae17be15ac07dcdd,249946,kline_min1,9.14,2018-06-08,9.19,9.11,0,9.11,002631,931,27400
993,5b446ae7ae17be15ac08375b,979550,kline_min1,9.68,2018-06-08,9.79,9.68,0,9.79,002632,931,100200
996,5b446ae7ae17be15ac088d73,933739,kline_min1,11.83,2018-06-08,11.99,11.83,0,11.99,002633,931,78200
997,5b446ae8ae17be15ac08dbed,42084,kline_min1,5.08,2018-06-08,5.08,5.07,0,5.08,002634,931,8300
1000,5b446ae8ae17be15ac093214,16874458,kline_min1,20.11,2018-06-08,20.27,20.11,0,20.27,002635,931,834200
1001,5b446ae8ae17be15ac098d3e,46502,kline_min1,9.32,2018-06-08,9.34,9.29,0,9.29,002636,931,5000
